	input	category	prediction
154	A girl liked that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 1 ) ; cobra ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND burn ( 13 ) AND agent ( 13 , 9 )
155	Savannah liked that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	Savannah ( 1 ) ; cobra ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND burn ( 13 ) AND agent ( 13 , 9 )
156	Emma admired that a cobra decomposed .	only_seen_as_transitive_subj_as_unacc_subj	Emma ( 1 ) ; cobra ( 9 ) ; admire ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND decompose ( 13 ) AND agent ( 13 , 9 )
157	Emma said that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Emma ( 1 ) ; cobra ( 9 ) ; say ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND freeze ( 13 ) AND agent ( 13 , 9 )
158	A girl supported that a cobra collapsed .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 1 ) ; cobra ( 9 ) ; support ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND collapse ( 13 ) AND theme ( 13 , 9 )
159	Liam noticed that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Liam ( 1 ) ; cobra ( 9 ) ; notice ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND freeze ( 13 ) AND agent ( 13 , 9 )
160	Claire hoped that the hippo drew .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Claire ( 1 ) ; * hippo ( 9 ) ; hope ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND draw ( 13 ) AND agent ( 13 , 9 )
161	A girl said that the hippo sketched .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	girl ( 1 ) ; * hippo ( 9 ) ; say ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND sketch ( 13 ) AND agent ( 13 , 9 )
162	A baby hoped that a hippo sketched .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	baby ( 1 ) ; hippo ( 9 ) ; hope ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND sketch ( 13 ) AND agent ( 13 , 9 )
163	The cat liked that a hippo called .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* cat ( 1 ) ; hippo ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND call ( 13 ) AND agent ( 13 , 9 )
164	A puppy noticed that a hippo painted .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	puppy ( 1 ) ; hippo ( 9 ) ; notice ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND paint ( 13 ) AND agent ( 13 , 9 )
165	The hero imagined that a hippo cooked .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* hero ( 1 ) ; hippo ( 9 ) ; imagine ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND cook ( 13 ) AND agent ( 13 , 9 )
166	Emma admired that a hippo packed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Emma ( 1 ) ; hippo ( 9 ) ; admire ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND pack ( 13 ) AND agent ( 13 , 9 )
167	The journalist believed that the hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* journalist ( 1 ) ; * hippo ( 9 ) ; believe ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND eat ( 13 ) AND agent ( 13 , 9 )
168	The child hoped that the hippo investigated .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* child ( 1 ) ; * hippo ( 9 ) ; hope ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND investigate ( 13 ) AND agent ( 13 , 9 )
169	The teacher liked that a hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* teacher ( 1 ) ; hippo ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND eat ( 13 ) AND agent ( 13 , 9 )
170	Mia wished that the hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Mia ( 1 ) ; * hippo ( 9 ) ; wish ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND eat ( 13 ) AND agent ( 13 , 9 )
171	Olivia dreamed that the hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Olivia ( 1 ) ; * hippo ( 9 ) ; dream ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND eat ( 13 ) AND agent ( 13 , 9 )
172	The boy noticed that a hippo painted .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* boy ( 1 ) ; hippo ( 9 ) ; notice ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND paint ( 13 ) AND agent ( 13 , 9 )
173	A hippo juggled .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	hippo ( 1 ) ; juggle ( 3 ) AND agent ( 3 , 1 )
174	The boy admired that a hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* boy ( 1 ) ; hippo ( 9 ) ; admire ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND eat ( 13 ) AND agent ( 13 , 9 )
175	Isabella confessed that a hippo painted .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Isabella ( 1 ) ; hippo ( 9 ) ; confess ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND paint ( 13 ) AND agent ( 13 , 9 )
176	Mia said that a hippo packed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Mia ( 1 ) ; hippo ( 9 ) ; say ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND pack ( 13 ) AND agent ( 13 , 9 )
177	Emma liked that a hippo noticed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Emma ( 1 ) ; hippo ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND notice ( 13 ) AND agent ( 13 , 9 )
178	Noah liked that Liam meant that the hippo packed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Noah ( 1 ) ; Liam ( 9 ) ; * hippo ( 17 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND mean ( 13 ) AND agent ( 13 , 9 ) AND ccomp ( 13 , 21 ) AND pack ( 21 ) AND agent ( 21 , 17 )
179	A bird liked that a hippo nursed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	bird ( 1 ) ; hippo ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND nurse ( 13 ) AND agent ( 13 , 9 )
180	Liam liked that the hippo walked .	only_seen_as_unacc_subj_as_unerg_subj	Liam ( 1 ) ; * hippo ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND walk ( 13 ) AND agent ( 13 , 9 )
181	A girl proved that a hippo stuttered .	only_seen_as_unacc_subj_as_unerg_subj	girl ( 1 ) ; hippo ( 9 ) ; prove ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND stutter ( 13 ) AND subject ( 13 , 9 )
182	A boy noticed that the hippo talked .	only_seen_as_unacc_subj_as_unerg_subj	boy ( 1 ) ; * hippo ( 9 ) ; notice ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND talk ( 13 ) AND agent ( 13 , 9 )
183	Emma supported that the hippo talked .	only_seen_as_unacc_subj_as_unerg_subj	Emma ( 1 ) ; * hippo ( 9 ) ; support ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND talk ( 13 ) AND agent ( 13 , 9 )
184	A girl valued that the hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	girl ( 1 ) ; * hippo ( 9 ) ; value ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND sleep ( 13 ) AND theme ( 13 , 9 )
185	Isabella proved that a hippo sneezed .	only_seen_as_unacc_subj_as_unerg_subj	Isabella ( 1 ) ; hippo ( 9 ) ; prove ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND sneeze ( 13 ) AND agent ( 13 , 9 )
186	Olivia liked that a hippo screamed .	only_seen_as_unacc_subj_as_unerg_subj	Olivia ( 1 ) ; hippo ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND scream ( 13 ) AND agent ( 13 , 9 )
187	A professor believed that a hippo cried .	only_seen_as_unacc_subj_as_unerg_subj	professor ( 1 ) ; hippo ( 9 ) ; believe ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND cry ( 13 ) AND agent ( 13 , 9 )
188	Emma appreciated that the hippo scoffed .	only_seen_as_unacc_subj_as_unerg_subj	Emma ( 1 ) ; * hippo ( 9 ) ; appreciate ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND scoff ( 13 ) AND agent ( 13 , 9 )
189	The dog noticed that a hippo ran .	only_seen_as_unacc_subj_as_unerg_subj	* dog ( 1 ) ; hippo ( 9 ) ; notice ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND run ( 13 ) AND agent ( 13 , 9 )
190	Liam said that the hippo sneezed .	only_seen_as_unacc_subj_as_unerg_subj	Liam ( 1 ) ; * hippo ( 9 ) ; say ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND sneeze ( 13 ) AND agent ( 13 , 9 )
191	A girl hoped that a hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	girl ( 1 ) ; hippo ( 9 ) ; hope ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND sleep ( 13 ) AND agent ( 13 , 9 )
192	A prisoner believed that the hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	prisoner ( 1 ) ; * hippo ( 9 ) ; believe ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND sleep ( 13 ) AND theme ( 13 , 9 )
193	Noah liked that a hippo smiled .	only_seen_as_unacc_subj_as_unerg_subj	Noah ( 1 ) ; hippo ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND smile ( 13 ) AND agent ( 13 , 9 )
194	The girl expected that a hippo snoozed .	only_seen_as_unacc_subj_as_unerg_subj	* girl ( 1 ) ; hippo ( 9 ) ; expect ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND snooze ( 13 ) AND agent ( 13 , 9 )
195	A boy appreciated that the hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	boy ( 1 ) ; * hippo ( 9 ) ; appreciate ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND sleep ( 13 ) AND theme ( 13 , 9 )
196	Jacob noticed that the hippo smiled .	only_seen_as_unacc_subj_as_unerg_subj	Jacob ( 1 ) ; * hippo ( 9 ) ; notice ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND smile ( 13 ) AND agent ( 13 , 9 )
197	A girl believed that a hippo jogged .	only_seen_as_unacc_subj_as_unerg_subj	girl ( 1 ) ; hippo ( 9 ) ; believe ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND jog ( 13 ) AND agent ( 13 , 9 )
198	The doctor liked that a hippo jogged .	only_seen_as_unacc_subj_as_unerg_subj	* doctor ( 1 ) ; hippo ( 9 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND jog ( 13 ) AND agent ( 13 , 9 )
199	The dog expected that a hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	* dog ( 1 ) ; hippo ( 9 ) ; expect ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND sleep ( 13 ) AND agent ( 13 , 9 )
200	Emma squeezed a donut .	passive_to_active	Emma ( 1 ) ; donut ( 9 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
201	Mason liked that Emma squeezed the cake beside a book .	passive_to_active	Mason ( 1 ) ; Emma ( 5 ) ; * cake ( 9 ) ; book ( 13 ) ; like ( 17 ) AND agent ( 17 , 1 ) AND ccomp ( 17 , 21 ) AND squeeze ( 21 ) AND agent ( 21 , 5 ) AND theme ( 21 , 9 ) AND nmod . beside ( 9 , 13 )
202	Leah meant that Emma squeezed the rose beside the piano .	passive_to_active	Leah ( 1 ) ; Emma ( 9 ) ; * rose ( 17 ) ; * piano ( 25 ) ; mean ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND squeeze ( 13 ) AND agent ( 13 , 9 ) AND theme ( 13 , 17 ) AND nmod . beside ( 17 , 25 )
203	Nora squeezed Benjamin .	passive_to_active	Nora ( 1 ) ; Benjamin ( 9 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
204	The girl squeezed a book on a table .	passive_to_active	* girl ( 1 ) ; book ( 5 ) ; table ( 9 ) ; squeeze ( 13 ) AND agent ( 13 , 1 ) AND theme ( 13 , 5 ) AND nmod . on ( 5 , 9 )
205	The frog squeezed Emma .	passive_to_active	* frog ( 1 ) ; Emma ( 9 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 )
206	A cat squeezed Amelia .	passive_to_active	cat ( 3 ) ; Amelia ( 11 ) ; squeeze ( 7 ) AND agent ( 7 , 3 ) AND theme ( 7 , 11 )
207	A monkey squeezed Emma .	passive_to_active	monkey ( 1 ) ; Emma ( 9 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
208	Olivia squeezed a fish on the crack .	passive_to_active	Olivia ( 1 ) ; fish ( 9 ) ; * crack ( 17 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . on ( 9 , 17 )
209	Amelia squeezed a beer .	passive_to_active	Amelia ( 1 ) ; beer ( 9 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
210	Ethan squeezed the girl in the garden .	passive_to_active	Ethan ( 1 ) ; * girl ( 9 ) ; * garden ( 17 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . in ( 9 , 17 )
211	The dog squeezed a box .	passive_to_active	* dog ( 1 ) ; box ( 5 ) ; squeeze ( 9 ) AND agent ( 9 , 1 ) AND theme ( 9 , 5 )
212	A dog squeezed Liam .	passive_to_active	dog ( 3 ) ; Liam ( 11 ) ; squeeze ( 7 ) AND agent ( 7 , 3 ) AND theme ( 7 , 11 )
213	Ella squeezed a rose on a chair on the speaker .	passive_to_active	Ella ( 1 ) ; rose ( 9 ) ; chair ( 17 ) ; * speaker ( 25 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . on ( 9 , 17 ) AND nmod . on ( 17 , 25 )
214	William squeezed the cake on a stool beside the chair .	passive_to_active	William ( 1 ) ; * cake ( 9 ) ; stool ( 17 ) ; * chair ( 25 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . on ( 9 , 17 ) AND nmod . beside ( 17 , 25 )
215	Elizabeth squeezed the strawberry beside a crystal .	passive_to_active	Elizabeth ( 1 ) ; * strawberry ( 9 ) ; crystal ( 17 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . beside ( 9 , 17 )
216	A boy squeezed a box .	passive_to_active	boy ( 1 ) ; box ( 5 ) ; squeeze ( 9 ) AND agent ( 9 , 1 ) AND theme ( 9 , 5 )
217	Carter squeezed Emma .	passive_to_active	Carter ( 1 ) ; Emma ( 9 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 )
218	Emma squeezed a girl on a stool .	passive_to_active	Emma ( 1 ) ; girl ( 9 ) ; stool ( 17 ) ; squeeze ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . on ( 9 , 17 )
219	The girl squeezed Jacob .	passive_to_active	* girl ( 1 ) ; Jacob ( 5 ) ; squeeze ( 9 ) AND agent ( 9 , 1 ) AND theme ( 9 , 5 )
220	Jackson shipped a friend the tool on a tree .	pp_dative_to_do_dative	Jackson ( 1 ) ; friend ( 9 ) ; * tool ( 17 ) ; tree ( 23 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 ) AND nmod . on ( 17 , 23 )
221	Olivia shipped Emma the rose in a tin .	pp_dative_to_do_dative	Olivia ( 1 ) ; Emma ( 5 ) ; * rose ( 9 ) ; tin ( 13 ) ; ship ( 17 ) AND agent ( 17 , 1 ) AND recipient ( 17 , 5 ) AND theme ( 17 , 9 ) AND nmod . in ( 9 , 13 )
222	The citizen shipped Liam a cake in a house .	pp_dative_to_do_dative	* citizen ( 1 ) ; Liam ( 9 ) ; cake ( 13 ) ; house ( 18 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 13 ) AND nmod . in ( 5 , 18 )
223	A girl shipped Oliver the clock .	pp_dative_to_do_dative	girl ( 1 ) ; Oliver ( 9 ) ; * clock ( 13 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 13 )
224	The coach shipped Emma the seed .	pp_dative_to_do_dative	* coach ( 1 ) ; Emma ( 9 ) ; * seed ( 13 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 13 )
225	Grayson shipped the boy a bell .	pp_dative_to_do_dative	Grayson ( 1 ) ; bell ( 9 ) ; * boy ( 17 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 17 )
226	The coach shipped a dog a cake .	pp_dative_to_do_dative	* coach ( 1 ) ; dog ( 9 ) ; cake ( 17 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
227	A passenger shipped Riley the cake .	pp_dative_to_do_dative	passenger ( 1 ) ; Riley ( 9 ) ; * cake ( 17 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
228	A girl liked that Scarlett declared that the prince shipped Olivia a sandwich in a house .	pp_dative_to_do_dative	girl ( 1 ) ; Scarlett ( 5 ) ; * prince ( 9 ) ; Olivia ( 13 ) ; sandwich ( 17 ) ; * house ( 21 ) ; like ( 25 ) AND agent ( 25 , 1 ) AND ccomp ( 25 , 29 ) AND declare ( 29 ) AND agent ( 29 , 5 ) AND ccomp ( 29 , 33 ) AND ship ( 33 ) AND agent ( 33 , 9 ) AND recipient ( 33 , 13 ) AND theme ( 33 , 17 ) AND nmod . in ( 33 , 21 )
229	A girl shipped the boy a chalk in a garden .	pp_dative_to_do_dative	girl ( 1 ) ; * boy ( 5 ) ; chalk ( 9 ) ; garden ( 13 ) ; ship ( 17 ) AND agent ( 17 , 1 ) AND recipient ( 17 , 5 ) AND theme ( 17 , 9 ) AND nmod . in ( 17 , 13 )
230	Skylar shipped Scarlett a bucket .	pp_dative_to_do_dative	Skylar ( 1 ) ; Scarlett ( 9 ) ; bucket ( 17 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
231	Emma shipped Alexander a box on the stage .	pp_dative_to_do_dative	Emma ( 1 ) ; Alexander ( 9 ) ; box ( 17 ) ; * stage ( 25 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 ) AND nmod . on ( 5 , 25 )
232	A father shipped Liam the rose on a table .	pp_dative_to_do_dative	father ( 1 ) ; Liam ( 9 ) ; * rose ( 17 ) ; table ( 25 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 ) AND nmod . on ( 17 , 25 )
233	Emma shipped a girl the cake .	pp_dative_to_do_dative	Emma ( 1 ) ; girl ( 9 ) ; * cake ( 17 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
234	The boy respected that Samuel shipped Olivia the box in the room .	pp_dative_to_do_dative	* boy ( 1 ) ; Samuel ( 5 ) ; Olivia ( 9 ) ; * box ( 13 ) ; * room ( 17 ) ; respect ( 21 ) AND agent ( 21 , 1 ) AND ccomp ( 21 , 25 ) AND ship ( 25 ) AND agent ( 25 , 5 ) AND recipient ( 25 , 9 ) AND theme ( 25 , 13 ) AND nmod . in ( 25 , 17 )
235	Eleanor shipped Joseph a cake beside the table .	pp_dative_to_do_dative	Eleanor ( 1 ) ; Joseph ( 9 ) ; cake ( 17 ) ; * table ( 25 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 ) AND nmod . beside ( 17 , 25 )
236	A lion shipped Mateo the cake .	pp_dative_to_do_dative	lion ( 1 ) ; Mateo ( 9 ) ; * cake ( 17 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
237	Hannah shipped Brooklyn the cake .	pp_dative_to_do_dative	Hannah ( 1 ) ; Brooklyn ( 9 ) ; * cake ( 17 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
238	A boy shipped a frog the sandwich in the garden .	pp_dative_to_do_dative	boy ( 1 ) ; frog ( 5 ) ; * sandwich ( 9 ) ; * garden ( 13 ) ; ship ( 17 ) AND agent ( 17 , 1 ) AND recipient ( 17 , 5 ) AND theme ( 17 , 9 ) AND nmod . in ( 17 , 13 )
239	The donkey shipped Noah a donut .	pp_dative_to_do_dative	* donkey ( 1 ) ; Noah ( 9 ) ; donut ( 17 ) ; ship ( 5 ) AND agent ( 5 , 1 ) AND recipient ( 5 , 9 ) AND theme ( 5 , 17 )
240	Logan slipped a donut on the bun beside the bed beside the table in a cup beside a tree to Emily .	pp_recursion	Logan ( 1 ) ; donut ( 5 ) ; * bun ( 9 ) ; * bed ( 13 ) ; * table ( 17 ) ; cup ( 21 ) ; tree ( 25 ) ; Emily ( 29 ) ; slip ( 33 ) AND agent ( 33 , 1 ) AND theme ( 33 , 5 ) AND recipient ( 33 , 29 ) AND nmod . beside ( 5 , 9 ) AND nmod . beside ( 9 , 13 ) AND nmod . beside ( 13 , 17 ) AND nmod . in ( 17 , 21 ) AND nmod . beside ( 21 , 25 )
241	A judge poked the donut in a cupboard beside the bin beside the seat in a taxi beside a bed in a house beside a stage in a garden on a rock beside a table .	pp_recursion	judge ( 1 ) ; * donut ( 5 ) ; poke ( 9 ) AND agent ( 9 , 1 ) AND theme ( 9 , 5 ) AND nmod . in ( 5 , 13 ) AND nmod . beside ( 13 , 17 ) AND nmod . beside ( 17 , 21 ) AND nmod . in ( 21 , 25 ) AND nmod . beside ( 25 , 29 ) AND nmod . in ( 29 , 33 ) AND nmod . beside ( 33 , 37 ) AND nmod . in ( 37 , 41 ) AND nmod . on ( 41 , 45 ) AND nmod . beside ( 45 , 49 )
242	A cat served a box on the napkin beside a log on a bed beside the bike on a TV to the prince .	pp_recursion	cat ( 1 ) ; box ( 5 ) ; napkin ( 9 ) ; log ( 13 ) ; bed ( 17 ) ; bike ( 21 ) ; TV ( 25 ) ; prince ( 29 ) ; serve ( 33 ) AND agent ( 33 , 1 ) AND theme ( 33 , 5 ) AND recipient ( 33 , 29 ) AND nmod . on ( 5 , 9 ) AND nmod . beside ( 9 , 13 ) AND nmod . on ( 13 , 17 ) AND nmod . beside ( 17 , 21 ) AND nmod . on ( 21 , 25 )
243	Liam liked the soldier beside a bottle on the road beside a cup in a room on a sock in a well on the chair in a basin .	pp_recursion	Liam ( 1 ) ; * soldier ( 5 ) ; bottle ( 9 ) ; road ( 13 ) ; cup ( 17 ) ; room ( 21 ) ; sock ( 25 ) ; well ( 29 ) ; chair ( 33 ) ; basin ( 37 ) ; like ( 41 ) AND agent ( 41 , 1 ) AND theme ( 41 , 5 ) AND nmod . beside ( 5 , 9 ) AND nmod . on ( 9 , 13 ) AND nmod . beside ( 13 , 17 ) AND nmod . in ( 17 , 21 ) AND nmod . on ( 21 , 25 ) AND nmod . in ( 25 , 29 ) AND nmod . on ( 29 , 33 ) AND nmod . in ( 33 , 37 )
244	Emma appreciated that the cat snapped the dealer in the cage beside the book in a house beside a sink beside the cup beside a chair beside the bin on the bed .	pp_recursion	Emma ( 1 ) ; * cat ( 9 ) ; * dealer ( 17 ) ; * cage ( 25 ) ; * book ( 33 ) ; house ( 41 ) ; sink ( 49 ) ; * cup ( 57 ) ; chair ( 65 ) ; * bin ( 73 ) ; * bed ( 81 ) ; appreciate ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 89 ) AND snap ( 89 ) AND agent ( 89 , 9 ) AND theme ( 89 , 17 ) AND nmod . in ( 17 , 25 ) AND nmod . beside ( 25 , 33 ) AND nmod . in ( 33 , 41 ) AND nmod . beside ( 41 , 49 ) AND nmod . beside ( 49 , 57 ) AND nmod . beside ( 57 , 65 ) AND nmod . beside ( 65 , 73 ) AND nmod . on ( 73 , 81 )
245	Liam liked a donut in the garden in the well on a bike in the house on a bowl in a pod .	pp_recursion	Liam ( 1 ) ; donut ( 5 ) ; * garden ( 9 ) ; * well ( 13 ) ; bike ( 17 ) ; * house ( 21 ) ; bowl ( 25 ) ; pod ( 29 ) ; like ( 33 ) AND agent ( 33 , 1 ) AND theme ( 33 , 5 ) AND nmod.in ( 5 , 9 ) AND nmod.in ( 9 , 13 ) AND nmod.on ( 13 , 17 ) AND nmod.in ( 17 , 21 ) AND nmod.on ( 21 , 25 ) AND nmod.in ( 25 , 29 )
246	A cat froze a chicken on a chair in a garden on a table in a dumpster beside the monk beside a bed .	pp_recursion	cat ( 1 ) ; chicken ( 5 ) ; chair ( 9 ) ; garden ( 13 ) ; table ( 17 ) ; dumpster ( 21 ) ; monk ( 25 ) ; bed ( 29 ) ; freeze ( 33 ) AND agent ( 33 , 1 ) AND theme ( 33 , 5 ) AND nmod . on ( 5 , 9 ) AND nmod . in ( 9 , 13 ) AND nmod . on ( 13 , 17 ) AND nmod . in ( 17 , 21 ) AND nmod . beside ( 21 , 25 ) AND nmod . beside ( 25 , 29 )
247	The girl sketched the cat in a house on a seat beside a table beside a dragon on the notebook in a jar in the room .	pp_recursion	* girl ( 1 ) ; * cat ( 5 ) ; * notebook ( 29 ) ; * room ( 37 ) ; house ( 9 ) ; seat ( 13 ) ; table ( 17 ) ; dragon ( 21 ) ; jar ( 33 ) ; sketch ( 2 ) AND agent ( 2 , 1 ) AND theme ( 2 , 5 ) AND nmod . in ( 5 , 9 ) AND nmod . on ( 9 , 13 ) AND nmod . beside ( 13 , 17 ) AND nmod . beside ( 17 , 21 ) AND nmod . on ( 21 , 29 ) AND nmod . in ( 29 , 33 ) AND nmod . in ( 33 , 37 )
